Nome,Preço,Vendedor,Link
Smartphone Apple iPhone 13 256GB Câmera Dupla,"R$ 4.249,00",Menor preço via Casas Bahia,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-256gb-ios?_lc=11
Smartphone Apple iPhone 13 Pro Max Usado 256GB Câmera Tripla,"R$ 4.260,06",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-max-usado-256gb-camera-tripla?_lc=11
Smartphone Apple iPhone 11 Pro 256GB Câmera Tripla,"R$ 4.299,90",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-11-pro-256gb-ios?_lc=11
Smartphone Apple iPhone 13 Pro Usado 512GB Câmera Tripla,"R$ 4.360,80",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-usado-512gb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 Pro Usado 6GB RAM 256GB,"R$ 4.436,60",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-usado-6gb-ram-256gb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 Plus vermelho 128GB Câmera Dupla,"R$ 4.491,76",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-vermelho-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 13 Vermelho 256GB Câmera Dupla,"R$ 4.499,10",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-vermelho-256gb-ios?_lc=11
Smartphone Apple iPhone 12 256GB Câmera Dupla,"R$ 4.499,10",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-256gb-ios?_lc=11
Smartphone Apple iPhone 12 Vermelho 256GB Câmera Dupla,"R$ 4.499,10",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-256gb-ios?_lc=11
Smartphone Apple iPhone 13 Pro Usado 1TB Câmera Tripla,"R$ 4.607,60",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-usado-1tb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 vermelho 128GB Câmera Dupla,"R$ 4.977,00",Menor preço via Amazon,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-vermelho-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 13 Vermelho 128GB Câmera Dupla,"R$ 5.219,10",Menor preço via Amazon,https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-vermelho-128gb-ios?_lc=11
