Nome,Preço,Vendedor,Link
Smartphone Apple iPhone 15 Pro 256GB Câmera Tripla,"R$ 7.029,90",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-256gb-camera-tripla?_lc=11
Smartphone Apple iPhone 15 Pro 512GB Câmera Tripla,"R$ 8.399,99",Menor preço via KaBuM!,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-512gb-camera-tripla?_lc=11
Celular Apple iPhone 14 128GB Câmera Dupla,"R$ 3.999,00",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 15 Pro 1TB Câmera Tripla,"R$ 9.399,99",Menor preço via KaBuM!,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-8-gb-ram-1tb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 vermelho 128GB Câmera Dupla,"R$ 4.977,00",Menor preço via Amazon,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-vermelho-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 12 Vermelho 64GB Câmera Dupla,"R$ 3.134,99",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-64gb-ios?_lc=11
Smartphone Apple iPhone 12 Vermelho 256GB Câmera Dupla,"R$ 4.499,10",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-256gb-ios?_lc=11
Celular Apple iPhone 15 Pro Max 8 GB 256GB Câmera Tripla,"R$ 7.599,05",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-max-256gb-camera-tripla?_lc=11
Smartphone Apple iPhone 15 Pro Max 512GB Câmera Tripla,"R$ 8.549,90",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-max-8gb-ram-512gb-camera-tripla?_lc=11
Smartphone Apple iPhone 15 Pro Max 1TB Câmera Tripla,"R$ 10.299,99",Menor preço via KaBuM!,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-max-8gb-ram-1tb-camera-tripla?_lc=11
Smartphone Apple iPhone 15 Plus 128GB Câmera Dupla,"R$ 5.999,00",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-plus-iphone-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 15 Plus 256GB Câmera Dupla,"R$ 6.499,99",Menor preço via KaBuM!,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-plus-iphone-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 15 Plus 512GB Câmera Dupla,"R$ 7.099,00",Menor preço via KaBuM!,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-plus-iphone-512gb-camera-dupla?_lc=11
Smartphone Apple iPhone 12 Mini 64GB Câmera Dupla,"R$ 5.179,00",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-mini-64gb-ios-camera-dupla?_lc=11
