Frequência,Nome,Preço,Link
2,Smartphone Apple iPhone 13 Vermelho Usado 4 GB 128GB Câmera Dupla Apple A15 Bionic 1 Chip iOS 15,"R$ 2.898,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-vermelho-usado-128gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 12 Vermelho 64GB Câmera Dupla,"R$ 3.134,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-64gb-ios?_lc=11
2,Smartphone Apple iPhone 12 256GB Câmera Dupla,"R$ 4.499,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-256gb-ios?_lc=11
2,Smartphone Apple iPhone 12 Vermelho 256GB Câmera Dupla,"R$ 4.499,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-256gb-ios?_lc=11
2,Smartphone Apple iPhone 13 Vermelho 128GB Câmera Dupla,"R$ 5.219,10",https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-vermelho-128gb-ios?_lc=11
1,Smartphone Apple iPhone 14 vermelho 256GB Câmera Dupla,"R$ 4.799,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-vermelho-256gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 6S Usado 32GB 12.0 MP,"R$ 509,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-6s-usado-32gb?_lc=11
1,Smartphone Apple iPhone 8 Usado 256GB 12.0 MP,"R$ 1.069,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-8-usado-256gb-ios?_lc=11
1,Smartphone Apple iPhone 8 Plus Usado 128GB Câmera Dupla,"R$ 1.269,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-8-plus-usado-128gb-ios-camera-dupla-autofoco?_lc=11
1,Smartphone Apple iPhone SE 2 Usado 64GB 12.0 MP,"R$ 1.389,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-se-2-usado-64gb-12-0-mp?_lc=11
1,Smartphone Apple iPhone XS Max Usado 64GB Câmera Dupla,"R$ 1.539,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-xs-max-usado-64gb?_lc=11
1,Smartphone Apple iPhone 12 Vermelho Usado 64GB,"R$ 2.260,72",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-usado-64gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 12 Mini Usado 128GB Câmera Dupla,"R$ 2.389,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-mini-usado-128gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 12 Vermelho Usado 128GB,"R$ 2.419,12",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-usado-128gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 12 Mini Vermelho 128GB 4GB RAM Usado,"R$ 2.549,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-mini-vermelho-usado-128gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone XR Vermelho 128GB 12.0 MP,"R$ 2.879,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-xr-vermelho-128gb-4g?_lc=11
1,Smartphone Apple iPhone 13 Vermelho Usado 4 GB 256GB Câmera Dupla Apple A15 Bionic 1 Chip iOS 15,"R$ 3.157,85",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-vermelho-usado-256gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 12 Vermelho Usado 256GB Câmera Dupla,"R$ 3.419,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-usado-256gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 7 Plus 128GB 12.0 MP Câmera Dupla,"R$ 3.500,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-7-plus-128gb-4g?_lc=11
1,Smartphone Apple iPhone 13 Mini Vermelho Usado 128GB Câmera Dupla,"R$ 3.529,90",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-mini-vermelho-usado-128gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 12 Pro Usado 256GB Câmera Tripla,"R$ 3.679,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-pro-usado-256gb-camera-tripla?_lc=11
1,Smartphone Apple iPhone 13 Usado 512GB Câmera Dupla,"R$ 3.748,59",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-usado-512gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 11 Vermelho 256GB Câmera Dupla,"R$ 3.999,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-11-vermelho-256gb-ios?_lc=11
1,Smartphone Apple iPhone XS Max 64GB Câmera Dupla,"R$ 4.049,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-xs-max-64gb-4g?_lc=11
1,Smartphone Apple iPhone 11 Pro 256GB Câmera Tripla,"R$ 4.299,90",https://www.zoom.com.br/celular/smartphone-apple-iphone-11-pro-256gb-ios?_lc=11
1,Smartphone Apple iPhone 13 Pro Usado 512GB Câmera Tripla,"R$ 4.360,80",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-usado-512gb-camera-tripla?_lc=11
1,Smartphone Apple iPhone 13 Pro Usado 1TB Câmera Tripla,"R$ 4.607,60",https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-usado-1tb-camera-tripla?_lc=11
1,Smartphone Apple iPhone 13 Mini 512GB Câmera Dupla,"R$ 11.005,85",https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-mini-512gb-ios?_lc=11
1,Smartphone Apple iPhone 13 Vermelho 512GB Câmera Dupla,"R$ 5.219,10",https://www.zoom.com.br/celular/pre-venda-smartphone-apple-iphone-13-vermelho-512gb-ios?_lc=11
1,Smartphone Apple iPhone 14 Pro Max 1TB Câmera Tripla,"R$ 11.599,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-max-1tb-camera-tripla?_lc=11
1,Smartphone Apple iPhone 14 512GB Câmera Dupla,"R$ 5.929,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-512gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone SE 3 256GB 12.0 MP,"R$ 5.299,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-se-3-256gb-ios-12-0-mp?_lc=11
1,Smartphone Apple iPhone 14 Pro 128GB Câmera Tripla,"R$ 7.999,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-128gb-camera-tripla?_lc=11
1,Smartphone Apple iPhone 14 vermelho 512GB Câmera Dupla,"R$ 6.049,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-vermelho-512gb-camera-dupla?_lc=11
1,Smartphone Apple iPhone 12 Mini 64GB Câmera Dupla,"R$ 5.179,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-12-mini-64gb-ios-camera-dupla?_lc=11
